geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_toyPcKD_change
Acf	1616.40435891185	-1.58013600407475	0.122869510841625	-12.8602774866704	7.53058492265128e-38	7.5343502151126e-34	depleted in toy-PcKD
CG11345	14.0117991938779	-6.14350136308808	1.77269284068813	-3.46563218515808	0.000528986419820218	0.0441042427525107	depleted in toy-PcKD
CG11594	224.945321949367	-4.1264888548165	0.429521716358314	-9.6071716461808	7.45691428826404e-22	1.49212854908163e-18	depleted in toy-PcKD
CG13101	82.9428562935415	-1.22142850003363	0.338070152825266	-3.61294391068273	0.000302740208642389	0.0299892652224466	depleted in toy-PcKD
CG13606	52.9020824208151	4.06750187833295	0.927387563707651	4.38597845982673	1.15465548160511e-05	0.00217968454593568	enriched in toy-PcKD
CG13947	19.2810162017837	20.1751721711161	3.47791690563525	5.80093565157535	6.59459053580195e-09	2.86864688307385e-06	enriched in toy-PcKD
CG13982	17.6851508470387	2.45070840986471	0.5532876809635	4.42935654305012	9.45146578398898e-06	0.0019298350034451	enriched in toy-PcKD
CG14300	62.5276613162286	5.84549496838201	1.68182005226608	3.47569584540618	0.000509529804661828	0.042839039459173	enriched in toy-PcKD
CG14990	32.1882757405283	-3.08806740525601	0.903248032539789	-3.41884764096619	0.000628869283006922	0.049935215686383	depleted in toy-PcKD
CG17027	13.007019035996	-3.80889939606251	1.03836439834469	-3.66817217744991	0.000244290659249917	0.0257277821397964	depleted in toy-PcKD
CG17029	21.6507199958871	-2.4596009929297	0.587577676791798	-4.18600142598889	2.83911564251866e-05	0.00443066392407602	depleted in toy-PcKD
CG17108	70.2094801661603	-3.65848024530495	0.989011695668476	-3.69912738274766	0.000216342006112736	0.0240500196795325	depleted in toy-PcKD
CG17362	38.5290017125787	8.23098205653078	2.28318731778165	3.60504019640755	0.000312104617525641	0.0305247984544566	enriched in toy-PcKD
CG18853	105.304593862349	1.91747940879301	0.393464017200613	4.87332850011379	1.09733530129599e-06	0.000261400944987294	enriched in toy-PcKD
CG3085	83.5803612240191	-1.29056533419533	0.237810520631511	-5.42686391993172	5.73528204443392e-08	1.91271656181871e-05	depleted in toy-PcKD
CG31313	27.5620857200257	-4.09157936186971	1.11520601545721	-3.668900010544	0.000243596322258963	0.0257277821397964	depleted in toy-PcKD
CG31705	2343.7372375057	-1.10883019459654	0.173404478897432	-6.3944726321193	1.61102399618725e-10	8.95460837880748e-08	depleted in toy-PcKD
CG32335	19.0675332588022	-5.1840403298151	1.3542386802723	-3.82801082654997	0.000129183075370256	0.0157619105985293	depleted in toy-PcKD
CG32368	15.6026438978662	-4.69610384698929	0.851099908056255	-5.51768811456491	3.43488323517828e-08	1.22735738456995e-05	depleted in toy-PcKD
CG32564	12.8472117095594	-16.8891504420886	2.28418924091075	-7.39393660542529	1.42544392473734e-13	1.18846387224975e-10	depleted in toy-PcKD
CG33509	110.74846476401	1.82517913635591	0.415928635925431	4.38820263551928	1.14291265551815e-05	0.00217968454593568	enriched in toy-PcKD
CG3588	395.843372463104	-1.56169732860066	0.436590405656716	-3.57703080133326	0.000347519238038868	0.0321100445186308	depleted in toy-PcKD
CG3984	18.6441594516923	-7.24194986171865	2.11307648813063	-3.42720668295607	0.000609824723357353	0.0488103708575225	depleted in toy-PcKD
CG42835	8.59487116413164	-18.1285803182696	3.62445009598234	-5.00174642723455	5.6813285816286e-07	0.000143076853544079	depleted in toy-PcKD
CG5177	295.067261105207	-1.48162697382763	0.406389089152767	-3.64583354567048	0.000266526462856274	0.0272101761313982	depleted in toy-PcKD
CG6321	103.533747595434	-1.15502819528642	0.315917861802669	-3.6561028512148	0.000256078645285107	0.0264673874990046	depleted in toy-PcKD
CG7296	162.569627141596	-2.0700926581273	0.549788135809136	-3.7652552379667	0.000166379036516401	0.0195837912981952	depleted in toy-PcKD
CG7386	61.2821711562736	-6.76061923581667	0.987717453549721	-6.84468945194796	7.66419479344892e-12	5.47716206488975e-09	depleted in toy-PcKD
CG7497	16.9504190518491	-2.77003191561533	0.729373614200644	-3.79782303840418	0.000145972473476871	0.0173863642516201	depleted in toy-PcKD
CG8563	35.1601722710012	-3.3565123099697	0.761033824199836	-4.410464033578	1.03149338256712e-05	0.0020640182585168	depleted in toy-PcKD
CG9040	29.2910128300631	19.3060079204745	2.40394425524826	8.03097154949657	9.6703779148388e-16	1.07502367819958e-12	enriched in toy-PcKD
CG9269	45.6190134107669	-19.057095332842	2.49215823446369	-7.64682397341559	2.06004019292776e-14	2.06107021302422e-11	depleted in toy-PcKD
CR44368	96.7653218870812	1.54780267894907	0.214904154685075	7.20229295342035	5.92083094040743e-13	4.55676258144433e-10	enriched in toy-PcKD
CR44660	3.39202066393996	-6.2277559291838	1.61656338079036	-3.85246628940647	0.000116934079033639	0.0146240682591445	depleted in toy-PcKD
CR45822	213.810291331476	-7.69425134176392	0.629987646749968	-12.21333685106	2.63841828256023e-34	1.31986874585075e-30	depleted in toy-PcKD
CR45835	156.830571438051	-7.05780214772856	0.633513527981018	-11.1407283917385	7.94667316172398e-29	1.98766162457621e-25	depleted in toy-PcKD
Cpr67B	58.6111093274549	-2.26552029210136	0.637232553852721	-3.55524883090792	0.000377621536756867	0.0343463952295677	depleted in toy-PcKD
Cyp4g1	95.4480204862882	-6.27199087708939	1.54318452680484	-4.06431685138493	4.81733482029065e-05	0.00678837110943774	depleted in toy-PcKD
Dscam4	692.517667276869	1.03515071998306	0.178923457721606	5.78543883046173	7.23232754270578e-09	3.01497654436547e-06	enriched in toy-PcKD
EbpIII	107.595769112764	-2.96167365030237	0.791098180695775	-3.74374979310099	0.000181294192235808	0.0206119135604462	depleted in toy-PcKD
Gr64a	46.0126929533135	-8.22032266406966	1.23439868389216	-6.65937413198654	2.74996094037713e-11	1.71958495052957e-08	depleted in toy-PcKD
Gr64f	8.95970555349544	-6.32460168649604	1.38291985679132	-4.57336819298446	4.79945647419708e-06	0.00104388178313786	depleted in toy-PcKD
Lcp4	695.281948458105	-3.69323285977941	1.07125203447995	-3.44758538691813	0.000565621586788931	0.0456374514179294	depleted in toy-PcKD
Lcp65Ac	50.527973178072	-4.21883346841672	1.07860235556842	-3.91138907368083	9.17668019494572e-05	0.0120806164934779	depleted in toy-PcKD
Lcp9	71.3415434608224	-4.0063831665855	0.940500197418371	-4.25984298310923	2.04570561879237e-05	0.00341121411933628	depleted in toy-PcKD
