geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_SfmbtKD_v_toySfmbtKD_change
Acf	1616.40435891185	-1.4818045985963	0.119592718959542	-12.3904248643899	2.94479106956148e-35	9.59020291653857e-32	depleted in toy-SfmbtKD
Ada1-1	24.4921965204829	-1.64438621716699	0.452382055835385	-3.634950139944	0.000278034402829957	0.00748318489159416	depleted in toy-SfmbtKD
Ance-4	24.4662437431359	-5.18733577050668	1.63173851377264	-3.1790239224748	0.00147771894800593	0.0239424778142918	depleted in toy-SfmbtKD
Arc1	2024.5925025066	-1.98466371689841	0.275213789292979	-7.21135275233478	5.53987330837851e-13	3.00692012349211e-10	depleted in toy-SfmbtKD
AttA	11.4617192214196	7.11810133822442	2.24488064238988	3.17081505529245	0.00152011891033997	0.0244500993386037	enriched in toy-SfmbtKD
CG10026	101.343250730477	-2.05145512515062	0.416626458303174	-4.92396746357813	8.48069432495331e-07	9.20626483942153e-05	depleted in toy-SfmbtKD
CG10131	358.243686579623	-1.02149093914512	0.324935186084232	-3.1436759787545	0.00166840065196033	0.0261641643172591	depleted in toy-SfmbtKD
CG10208	155.948854398932	1.19946755926106	0.32680799176185	3.67025161408882	0.000242311830332011	0.00682243971856988	enriched in toy-SfmbtKD
CG10467	836.69948054598	-1.32369993359196	0.305230460203645	-4.33672292309493	1.44622743672105e-05	0.000899977201067813	depleted in toy-SfmbtKD
CG10559	104.638469830573	1.01545310950016	0.349973839140332	2.90151147295607	0.0037136718031909	0.0433483554566011	enriched in toy-SfmbtKD
CG10621	57.0885940673188	-2.51391432911589	0.685368650005989	-3.6679739131545	0.000244480120587389	0.00684037701652186	depleted in toy-SfmbtKD
CG10804	9.69634581221217	-2.77234235094982	0.857075074187849	-3.2346552063445	0.00121789706904126	0.020985633799882	depleted in toy-SfmbtKD
CG10863	300.488361759253	1.36781956954063	0.366083953222789	3.73635489209278	0.000186707111034826	0.00566499526338588	enriched in toy-SfmbtKD
CG11029	205.630531258667	1.56921805786172	0.547454699577559	2.8663888702985	0.00415183899423743	0.0461059247040849	enriched in toy-SfmbtKD
CG11034	73.8287469465307	-1.39897000560589	0.463872755149464	-3.01584861381896	0.00256261168187977	0.0345810996297864	depleted in toy-SfmbtKD
CG1136	212.669018592516	1.71831474327628	0.302311685737442	5.68391770594219	1.31643641469127e-08	2.7365071854327e-06	enriched in toy-SfmbtKD
CG11594	224.945321949367	-4.62538878069331	0.393081168327572	-11.7670068000784	5.77368964424471e-32	1.41022369560677e-28	depleted in toy-SfmbtKD
CG11668	16.6084093932646	4.62999349425706	0.996551521680639	4.6460151768659	3.38408117697029e-06	0.000295200652669641	enriched in toy-SfmbtKD
CG12164	47.4332539849814	3.5358200914989	0.701423665510937	5.04091929793002	4.63300827372208e-07	5.65806135428309e-05	enriched in toy-SfmbtKD
CG12522	33.9818291676887	3.16272706175575	0.966551833918702	3.27217532548985	0.00106723371840956	0.0191670467442306	enriched in toy-SfmbtKD
CG12769	24.2674733733577	1.04219863918132	0.364176315285427	2.86179686991583	0.00421246791460197	0.0463466346009698	enriched in toy-SfmbtKD
CG13157	4.47480320654831	4.66472411229126	1.57106725120525	2.96914349701625	0.00298631105534946	0.037891245468525	enriched in toy-SfmbtKD
CG13675	4.35467756095966	3.84207011960849	1.33004732372971	2.88867174202086	0.00386872701598631	0.0442811292261793	enriched in toy-SfmbtKD
CG13856	12.5786093540273	3.56142311663891	1.1478243022144	3.10275981242788	0.00191725174802604	0.0285977856155945	enriched in toy-SfmbtKD
CG14107	15.8907317771562	-2.8416795236893	1.00225878779706	-2.8352752385791	0.00457862200751769	0.0486229750146172	depleted in toy-SfmbtKD
CG14275	243.272526813279	1.0157487883313	0.194126213223732	5.23241437342951	1.67310163487703e-07	2.40385337834538e-05	enriched in toy-SfmbtKD
CG14277	10.552187438053	5.06322167248274	1.56659663250864	3.23198809917959	0.00122932175786133	0.0211117682387575	enriched in toy-SfmbtKD
CG14298	5.30898618498731	4.29349302818758	1.47821997440816	2.90450210558587	0.00367837729304567	0.0431425524046293	enriched in toy-SfmbtKD
CG14300	62.5276613162286	5.99612046018871	1.51558127686719	3.95631732306902	7.61140425251831e-05	0.00292769368295685	enriched in toy-SfmbtKD
CG14629	547.351763551346	-1.12985095801334	0.352117677561452	-3.20873114305986	0.00133322097143586	0.0222835754670802	depleted in toy-SfmbtKD
CG14990	32.1882757405283	-2.44712290697484	0.853752908558418	-2.86631282007211	0.00415283661613047	0.0461059247040849	depleted in toy-SfmbtKD
CG15201	83.5157511883919	3.93518198274412	0.734781628351553	5.3555802580047	8.52822806233836e-08	1.41221674862789e-05	enriched in toy-SfmbtKD
CG15212	104.306727311493	1.36100292950345	0.475510369788746	2.86219400453476	0.00420719293365734	0.0463466346009698	enriched in toy-SfmbtKD
CG15343	121.73683451486	-4.04267983033895	0.501699472276745	-8.05797106381835	7.75711744065315e-16	6.31558644959844e-13	depleted in toy-SfmbtKD
CG15369	50.6876873540402	-4.07411010384	1.22335796428813	-3.33026818214299	0.000867623752812378	0.016686385954679	depleted in toy-SfmbtKD
CG1545	14.3952133661295	-1.87751116917053	0.611249324246946	-3.07159631052943	0.00212917463908749	0.0305463086988029	depleted in toy-SfmbtKD
CG15484	33.1268649496718	1.8291996129419	0.585704407400073	3.12307640139106	0.00178971283089506	0.0273638409355943	enriched in toy-SfmbtKD
CG1648	2237.91748580531	1.17025502515109	0.328009604973088	3.5677462105023	0.000360064994528534	0.00881662906401949	enriched in toy-SfmbtKD
