geneid	WT_1	WT_2	WT_3	toyKD_1	toyKD_2	toyKD_3	PcKD_1	PcKD_2	PcKD_3	toy-PcKD_1	toy-PcKD_2	toy-PcKD_3	SfmbtKD_1	SfmbtKD_2	SfmbtKD_3	toy-SfmbtKD_1	toy-SfmbtKD_2	toy-SfmbtKD_3	ScmKD_1	ScmKD_2	ScmKD_3	toy-ScmKD_1	toy-ScmKD_2	toy-ScmKD_3
128up	2783	837	1741	5050	2538	2592	1218	1052	3254	3668	1112	869	2639	1184	1544	1410	2926	2991	1645	1789	1539	1123	1223	1687
14-3-3epsilon	65927	18575	45829	127698	67053	63214	29177	25094	66317	88386	26653	22645	64186	27303	38675	30927	66975	70072	41673	49312	40680	25933	30251	38420
14-3-3zeta	35135	9939	25174	67719	36018	35421	14938	12839	35148	43141	12721	11414	34888	14654	20895	16251	35212	38152	19394	21880	18208	12231	14459	18196
140up	373	96	238	661	374	333	159	154	407	492	126	120	353	141	184	178	357	361	219	268	200	181	153	223
18SrRNA:CR41548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18SrRNA:CR45838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18SrRNA:CR45841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18w	10128	2932	6954	18082	9808	9423	3356	2598	6377	9440	2576	2212	9753	4600	5850	4135	8016	10048	4504	5827	5269	2919	3592	4798
26-29-p	10811	2683	6352	18044	9945	9854	5070	4370	11580	15285	4551	3880	9123	4119	5686	4945	10584	11334	6799	8333	6897	4869	5644	7207
28SrRNA:CR45837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28SrRNA:CR45844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2SrRNA:CR45836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2SrRNA:CR45840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2SrRNA:CR45843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2SrRNA:CR45864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2mit	306	164	254	752	266	425	232	207	432	849	225	226	343	109	144	203	424	520	182	256	220	202	291	183
312	427	93	275	684	376	394	149	164	384	435	145	142	371	154	249	228	312	399	173	218	246	152	146	189
4E-T	5263	1442	3345	9740	5087	5045	1843	1720	4054	6198	1641	1528	4788	2094	2909	2034	4490	5079	2167	2582	2113	1356	1565	1816
4EHP	2173	558	1390	3998	2038	2067	1000	792	2237	2858	812	690	2299	970	1415	940	2165	2436	1334	1434	1247	760	873	1096
5-HT1A	68	12	14	40	11	20	16	8	26	20	14	2	16	6	12	2	34	32	2	20	18	0	2	2
5-HT1B	30	6	4	26	25	6	2	6	12	16	12	0	6	6	10	4	12	13	2	0	0	2	4	6
5-HT2A	6	8	0	12	4	14	4	4	6	18	0	0	4	6	2	0	3	6	0	2	2	0	0	0
5-HT2B	10	2	0	10	8	2	0	0	2	2	0	0	0	0	2	0	4	0	0	2	2	2	0	0
5-HT7	16	6	18	47	20	17	8	10	8	6	2	2	8	6	2	12	6	4	13	20	15	0	0	6
5.8SrRNA:CR40454	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
5.8SrRNA:CR45839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.8SrRNA:CR45842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.8SrRNA:CR45852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5PtaseI	863	182	446	1389	841	791	323	275	710	939	297	244	712	264	449	271	701	701	359	406	292	169	180	258
5SrRNA:CR33353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7B2	404	106	120	380	154	182	108	48	224	276	58	52	174	92	114	94	164	266	152	110	130	92	112	96
7SLRNA:CR32864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
7SLRNA:CR42652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
825-Oak	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1
A16	1512	427	1024	2820	1454	1552	588	582	1683	1897	540	507	1380	569	883	659	1392	1633	824	942	852	554	630	774
AANATL2	278	16	162	138	28	24	14	18	28	130	18	12	116	34	16	24	18	78	30	32	22	2	2	0
ABCB7	1241	249	713	2027	1113	1111	493	446	1032	1214	424	327	978	449	664	504	1253	1100	601	767	627	393	472	586
ACC	2677	777	1725	5167	2647	2725	1133	1178	2288	3337	1009	824	2432	1222	1571	1278	3796	2907	1617	2022	1916	1088	1155	1692
ACXA	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACXB	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ACXC	0	0	0	10	0	0	2	0	0	2	0	0	0	0	2	0	2	0	0	2	0	0	0	0
ACXD	69	0	7	11	10	8	0	8	2	2	2	0	10	10	10	7	3	22	8	10	12	9	6	4
ACXE	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADD1	2873	757	1890	5120	2744	2886	1071	979	2514	3398	988	948	2701	1206	1698	1451	3119	2862	1435	1648	1424	975	1068	1363
ADPS	173	86	138	260	126	182	49	58	141	194	47	18	236	95	100	82	124	232	92	116	88	78	78	70
AGBE	1807	410	1179	3328	1735	1915	809	673	1847	2168	766	675	1596	616	852	904	1859	1897	1162	1422	1140	799	972	1134
AGO1	15244	4837	11121	29651	14713	15521	6437	5599	11200	20410	5316	5146	15284	6511	8715	6597	15235	16590	7692	9658	8780	5534	6294	7386
AGO2	11466	2835	7482	20297	11110	11144	4086	3519	8763	11634	3441	3222	9154	3998	5537	4347	10840	10158	6052	7479	6305	4140	4478	5488
AGO3	21	10	12	59	23	22	20	16	64	57	28	44	81	33	49	43	133	50	12	27	24	11	14	26
AIF	1988	560	1264	3889	1893	1976	927	677	2146	2468	731	573	1940	851	1180	943	2222	2089	1050	1290	1148	627	801	1034
AIMP1	1264	334	743	2295	1178	1177	647	516	1792	1766	624	476	1227	579	690	692	1520	1455	897	936	806	550	678	839
AIMP2	2056	591	1427	4147	1988	2005	1003	829	2634	3000	821	771	2201	940	1223	1143	2382	2435	1246	1620	1286	902	1064	1498
AIMP3	772	208	466	1570	697	724	372	310	859	961	310	272	696	330	450	482	891	833	516	572	538	326	398	554
ALiX	5913	1755	4123	11540	5779	5968	2730	2427	6555	8325	2471	2256	6227	2679	3639	3186	6757	7133	4075	5074	4191	2874	3471	4202
AMPKalpha	3380	870	2172	5964	3232	3512	1543	1259	3535	4616	1403	1191	2931	1276	1710	1730	4126	3774	1926	2276	2038	1412	1606	1946
AMPdeam	2917	774	1783	4440	1906	2632	872	669	1891	2692	808	586	2239	1072	1228	926	1730	2587	1187	1579	1279	710	818	1144
AOX1	140	30	66	120	82	112	421	470	366	1022	278	259	92	106	128	108	365	86	110	154	52	16	22	98
AOX2	6	2	0	62	2	4	214	2	4	8	2	2	2	4	4	0	14	6	4	8	2	4	4	4
AOX3	1441	215	448	2091	1758	1269	993	872	1338	1336	565	522	383	274	542	526	2486	828	1080	1287	946	670	663	1276
AOX4	90	6	21	375	28	357	117	190	101	232	141	54	12	104	42	42	277	32	45	141	16	14	18	34
AP-1-2beta	5513	1804	3960	10565	5288	5317	2573	1987	5323	7453	2151	1795	5787	2645	3334	2895	5548	6624	3704	4774	4214	2553	3209	3617
AP-1gamma	5209	1510	3131	9075	4433	4608	1936	1624	4122	5849	1585	1370	4662	2021	2634	2007	3999	4461	2156	2563	2157	1246	1560	1782
AP-1mu	2706	834	1985	5426	2632	3005	1240	946	2920	3715	1043	902	2756	1218	1612	1415	2787	3243	1597	1921	1709	1139	1329	1668
AP-1sigma	1984	623	1396	3956	2060	1834	803	692	2045	2517	761	655	1964	776	1085	696	1631	1883	1015	1181	964	654	702	942
AP-2alpha	7108	1952	4671	12599	6183	6355	2539	2190	5234	7934	2175	2069	6625	2850	3863	2983	5982	7045	3697	4388	3932	2175	2608	3397
AP-2mu	3363	886	2156	5919	3104	3119	1394	1198	3179	4275	1228	1030	3340	1397	1901	1615	3066	3903	1890	2280	1864	1196	1442	1732
AP-2sigma	1519	420	1110	2811	1482	1516	519	480	1592	1752	485	420	1460	640	840	688	1440	1667	932	1023	988	630	764	878
APC10	506	142	346	1022	634	566	224	258	542	710	274	192	458	246	320	266	667	650	354	400	296	261	260	374
APC4	954	232	586	1799	1001	880	351	388	983	1180	396	348	832	360	503	462	1082	884	532	564	508	320	366	466
APC7	10	4	6	16	2	6	10	4	6	10	4	4	10	6	4	8	10	6	4	2	4	0	6	4
APP-BP1	1046	278	649	1927	1010	960	440	367	1165	1369	377	353	915	453	573	467	1107	1028	597	589	556	285	412	487
AQP	8	0	4	2	0	0	14	0	6	0	0	0	2	2	0	0	16	8	4	2	4	0	2	0
ARY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPP	4399	1204	2793	9207	4821	4600	1928	1834	4585	6215	1586	1723	4479	2078	2787	2077	5418	4866	2453	2748	2368	1567	1811	2305
ATP6	10428	3389	3843	11646	4706	6288	2833	1250	3295	8309	2469	4803	4418	1791	2872	1787	2985	3784	2232	2304	1763	2016	2365	3169
ATP7	1009	270	643	1693	978	940	416	366	882	1072	296	292	980	460	565	496	988	1139	489	692	606	363	448	574
ATP8	140	27	190	518	273	361	37	52	259	142	26	20	441	198	416	139	225	350	118	167	141	194	238	336
ATP8B	1094	219	542	1750	1149	1133	414	462	946	1067	395	311	961	436	619	411	1155	962	364	393	352	242	282	250
ATPCL	8151	2279	5607	15956	7899	8328	2877	2543	6628	9511	2491	2215	7703	3357	4516	3925	7261	8645	4883	5844	5083	3164	3677	4575
ATPsynB	5873	1558	3891	11197	6062	6104	2705	2052	6345	7311	2335	1886	5397	2411	3231	2953	6552	6555	3938	4526	4094	2593	3046	4233
ATPsynC	32707	9141	22418	65219	36043	31384	15405	12453	36630	43928	12582	10878	35780	15263	21193	16832	38156	36520	23489	27802	23481	14042	17251	22156
ATPsynCF6	3215	901	2190	6049	2948	3088	1361	1116	3488	3859	1164	984	3021	1296	1803	1448	3259	3315	2014	2265	2042	1227	1564	2025
ATPsynCF6L	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ATPsynD	5390	1481	3537	10059	5577	5212	2172	1951	6011	6703	2000	1623	5067	2310	3044	2711	6081	5857	3445	4313	3378	2232	2764	3560
ATPsynE	3888	966	2606	7291	3828	3784	1476	1231	4110	4402	1229	1127	3784	1632	2242	1897	4202	3913	2487	3027	2538	1552	1895	2561
ATPsynF	4488	1334	3010	9308	4670	4498	2031	1584	5018	5650	1700	1396	4582	2029	2754	2286	5055	4931	3105	3598	3132	2007	2564	3102
ATPsynG	3355	872	2353	6383	3282	3817	1486	1120	3614	4098	1246	994	3068	1298	1805	1698	3779	3565	2264	2266	2220	1578	1814	2393
ATPsynGL	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ATPsynO	5098	1373	3342	9503	5232	5307	2071	1737	5302	5962	1849	1416	4971	2061	2811	2485	5738	5391	3278	3701	3313	2108	2604	3358
ATPsynbeta	33974	9325	23328	62823	35030	34523	15041	11783	33832	43348	12774	10770	30855	13483	18719	16418	36985	35497	20922	24230	20188	13939	17044	20935
ATPsynbetaL	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ATPsyndelta	3934	1075	2730	7425	4105	4221	1844	1538	4392	4779	1555	1196	3685	1658	2156	1984	4459	4320	2575	2865	2623	1670	1982	2668
ATPsynepsilonL	52	20	42	116	46	52	56	62	130	134	54	30	325	130	192	190	284	428	36	54	40	30	20	44
ATPsyngamma	8259	2440	5711	16073	8240	8272	3662	2925	8593	10238	2975	2504	7734	3626	4558	4197	9242	9315	5579	6271	5454	3691	4612	5805
ATbp	366	92	244	660	366	340	174	137	472	468	142	148	332	134	180	126	356	452	242	292	264	184	228	218
Aac11	9591	2478	5806	16749	8463	8832	3380	3228	7360	10655	3085	2755	6731	2684	3736	2750	6085	6400	3552	4205	3460	1992	2360	2926
Aatf	953	222	695	1988	1014	1048	466	350	1191	1423	414	336	1023	444	694	534	1159	1243	538	624	572	370	442	500
Abd-B	6	2	4	4	0	0	148	124	306	355	82	90	114	52	36	58	30	126	1957	2145	2045	758	912	1018
Abi	3207	965	2151	6258	3215	3154	1271	1065	2833	3997	1163	917	3261	1482	1882	1523	2967	3694	1727	2169	1848	1072	1254	1488
Abl	5347	1684	3905	10353	5054	5767	2315	2032	4212	6714	1846	1509	6109	2656	3511	2504	5431	7088	3255	4146	3738	2473	2788	2849
Abp1	3289	920	2194	6419	3323	3215	1531	1192	3600	4574	1188	1115	3508	1406	1908	1630	3259	3837	1972	2238	2047	1288	1556	1822
Ac13E	586	204	416	1183	589	674	214	188	356	424	136	178	552	252	324	260	492	501	279	341	300	182	218	286
Ac3	426	151	238	738	393	518	141	172	253	390	119	138	218	106	166	96	355	161	61	58	46	42	34	42
Ac76E	102	6	28	138	74	44	61	32	71	74	12	22	28	22	10	15	50	46	45	22	22	2	18	20
Ac78C	150	18	42	91	72	92	18	33	46	58	22	10	34	30	20	14	45	44	24	32	35	10	15	20
AcCoAS	917	132	322	980	506	436	177	196	432	546	183	100	569	304	354	266	712	469	287	300	224	144	156	211
Acam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ace	1480	863	1196	2714	1048	1654	512	394	922	1928	488	367	1692	636	780	704	1220	1668	828	1197	1136	634	858	720
Acer	222	62	116	356	154	174	108	74	136	192	52	44	193	125	142	142	240	168	120	176	106	68	74	124
Acf	4716	1303	2834	5024	2923	3312	1135	988	2603	1140	331	272	2525	1172	1644	374	1258	924	2106	2366	2051	753	839	1266
Ack	2475	707	1691	4675	2440	2422	970	784	2206	2976	802	762	2712	1320	1656	1296	2532	2913	1526	1742	1486	1005	1180	1493
Ack-like	8352	2362	5480	14761	7920	8028	3426	3049	7453	10819	3084	2690	7732	3455	4691	3794	8674	9303	4711	5908	4887	3113	3753	4365
Acn	8193	2151	5149	14561	7424	7718	3250	2837	7555	9654	2858	2485	7618	3198	4640	3306	7085	7493	3359	4045	3305	2116	2422	2958
Acon	10803	2695	6418	18202	9756	9996	4634	3958	9766	13657	3878	3379	9980	4586	6004	5137	11527	11289	7132	8718	7313	4642	5394	7299
Acox57D-d	36	4	8	37	30	21	8	2	12	27	12	2	15	18	18	18	13	16	11	2	0	0	4	8
Acox57D-p	490	124	287	991	558	595	178	187	448	639	175	164	457	192	288	204	417	481	242	282	244	178	206	264
Acp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acp24A4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acp26Aa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acp26Ab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acp29AB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acp32CD	6	7	12	29	14	6	2	2	8	4	1	1	4	0	2	0	0	1	8	8	8	6	5	2
Acp33A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acp36DE	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Acp53C14a	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acp53C14b	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Acp53C14c	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
