geneid	WT_1	WT_2	WT_3	toyKD_1	toyKD_2	toyKD_3	PcKD_1	PcKD_2	PcKD_3	toy-PcKD_1	toy-PcKD_2	toy-PcKD_3	SfmbtKD_1	SfmbtKD_2	SfmbtKD_3	toy-SfmbtKD_1	toy-SfmbtKD_2	toy-SfmbtKD_3	ScmKD_1	ScmKD_2	ScmKD_3	toy-ScmKD_1	toy-ScmKD_2	toy-ScmKD_3
CG14540	4	0	0	12	0	0	0	0	0	0	2	4	0	0	1	0	0	0	0	0	0	0	0	0
CG14543	432	164	326	824	440	553	246	180	670	606	202	190	496	257	328	256	582	546	340	326	298	182	246	338
CG14544	522	145	298	858	575	529	318	206	664	753	215	186	489	218	262	215	619	512	338	396	327	262	352	398
CG14545	10	0	0	6	2	4	0	0	2	4	4	0	22	8	16	12	28	14	4	6	2	2	2	2
CG14546	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14551	2	0	2	2	0	0	0	0	2	7	0	0	0	2	0	0	0	0	0	0	0	0	2	2
CG14556	0	0	0	10	2	0	0	0	0	0	0	0	2	0	4	0	0	2	0	0	0	0	0	0
CG14561	606	204	364	1154	680	734	314	242	863	1010	288	312	582	241	318	350	842	728	400	466	370	188	324	438
CG14562	2211	676	1450	4122	2205	2263	984	750	1785	2723	771	672	1931	1027	1120	1012	2330	2497	1114	1335	1058	750	721	1049
CG14563	0	0	0	2	4	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14564	0	2	2	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
CG14565	0	0	0	4	0	0	0	0	0	10	0	0	0	0	2	2	0	0	0	0	0	0	0	0
CG14566	294	98	26	790	64	270	14	10	14	14	12	8	46	14	114	15	52	56	185	84	674	20	16	104
CG14567	354	74	169	476	290	269	168	88	394	383	132	79	298	124	158	113	243	359	188	253	230	208	179	268
CG14568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14569	4	0	0	2	2	0	10	0	12	0	0	0	0	2	0	0	0	0	10	2	56	0	0	6
CG14570	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
CG14572	132	24	18	88	53	66	10	12	16	0	14	16	10	6	12	6	16	22	14	2	62	16	4	6
CG14573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14579	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14589	6	0	0	6	5	1	0	2	0	2	0	2	0	2	6	0	2	2	1	0	0	0	2	0
CG14591	113	58	63	165	58	73	30	22	122	93	48	12	121	32	46	23	54	90	24	40	39	32	37	34
CG14598	222	66	128	467	254	154	496	360	1242	1638	448	316	1025	446	608	669	1333	1626	248	265	254	176	222	178
CG14605	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
CG14606	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CG14607	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14609	6	0	0	7	0	0	2	3	4	4	0	2	2	0	0	2	2	6	2	0	0	0	0	0
CG1461	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
CG14610	2	0	0	4	8	0	0	2	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
CG14613	920	198	522	1708	976	900	411	375	1094	1094	314	418	860	379	483	377	1117	815	536	599	511	379	400	592
CG14615	28	12	12	52	25	28	13	4	26	40	9	10	29	8	17	12	31	17	10	14	6	7	4	14
CG14618	456	120	257	733	385	542	180	150	489	507	152	155	384	162	205	184	484	456	237	271	276	146	180	211
CG14621	736	217	545	1376	685	699	306	224	800	1031	280	244	715	315	419	339	673	786	364	465	339	236	297	344
CG14624	6	0	4	6	4	0	0	0	0	2	2	4	12	4	4	2	0	8	2	8	2	0	2	0
CG14625	0	0	0	2	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14626	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	2	2	0	12	0	0	0	0
CG14627	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14628	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14629	2926	398	822	1624	1666	772	192	192	564	458	196	102	1114	588	860	258	334	1009	458	336	442	150	166	262
CG1463	737	183	398	1165	689	617	302	214	804	775	266	262	619	241	366	268	811	604	308	431	340	214	253	300
CG14630	3	0	1	6	3	4	0	0	3	1	0	3	1	2	1	2	1	2	1	1	1	0	1	0
CG14631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14634	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0
CG14635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14636	105	28	108	296	92	148	59	33	96	126	60	48	107	66	95	75	84	186	88	122	96	86	76	62
CG14641	3081	887	2178	6250	3220	3148	1418	1152	3544	4258	1286	1193	3197	1357	1949	1571	3253	3863	2011	2492	1946	1417	1688	2150
CG14642	80	20	44	156	40	51	17	10	54	42	26	20	85	44	42	22	46	56	10	10	14	10	1	27
CG14644	6	0	0	8	0	0	0	0	0	0	2	0	0	2	0	0	0	2	2	0	0	0	0	0
CG14645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CG14646	1429	397	987	2644	1413	1428	604	537	1384	1807	479	493	1598	677	858	676	1211	1445	686	902	635	389	521	533
CG14647	925	232	579	1727	1014	924	478	390	1074	1230	353	274	871	343	465	451	965	990	461	567	460	276	356	390
CG14650	3847	1060	2821	7425	4040	3981	1915	1695	3947	5772	1582	1464	3801	1653	2388	1710	4583	4329	2067	2760	2297	1449	1658	1932
CG14651	2	0	2	2	4	4	0	4	2	0	2	0	4	0	2	0	0	2	0	0	0	0	0	0
CG14655	53	7	22	64	42	19	28	4	36	28	6	4	43	18	30	6	27	42	16	27	14	10	4	16
CG14657	2817	875	1964	5438	2769	2655	1184	973	2713	3636	1000	903	2944	1163	1597	1278	2586	2808	1594	1784	1622	977	1242	1431
CG14658	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14661	8	0	6	210	18	2	18	2	8	6	0	2	0	2	2	0	2	68	6	10	2	0	0	0
CG14662	23	4	8	30	12	7	2	2	0	2	0	0	2	2	1	0	1	2	8	4	2	2	0	8
CG14664	2	2	16	38	0	2	0	0	0	4	4	0	12	0	20	0	0	2	0	0	0	0	0	0
CG14667	494	112	330	821	521	445	222	204	475	582	219	159	418	193	238	194	454	495	210	236	206	158	164	226
CG14668	3	2	2	5	1	9	3	2	12	3	2	3	10	10	5	2	11	4	0	2	6	0	0	0
CG14669	133	60	59	150	92	83	10	4	43	57	14	6	61	22	28	16	52	54	12	53	32	12	20	21
CG14671	411	119	229	673	310	294	169	117	424	446	164	102	370	155	201	196	325	376	220	215	217	138	175	196
