geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_wt_vs_toyKD_change
AANATL2	39.7751477037033	-2.18378566007759	0.645387845937631	-3.38367955613566	0.000715214241734526	0.0382658742703419	depleted in toyKD
CG10132	112.312195375756	-1.2340787863001	0.306252359341957	-4.0296139724499	5.58685233776231e-05	0.00576252140611463	depleted in toyKD
CG11034	73.8287469465307	-1.51121402102215	0.460167069214937	-3.28405512284993	0.00102324906526317	0.0487505090378951	depleted in toyKD
CG1136	212.669018592516	2.69721659724863	0.368824687545494	7.31300449326872	2.61234276090946e-13	1.74243262152661e-10	enriched in toyKD
CG11594	224.945321949367	-3.93505554910591	0.371676463054237	-10.5873143453038	3.41241907729246e-26	6.82825057366222e-23	depleted in toyKD
CG12522	33.9818291676887	5.01658610785261	1.36229864784718	3.6824422572688	0.000231010202944606	0.0173778727854194	enriched in toyKD
CG13920	67.3414465334625	-2.04146652429381	0.498061957947687	-4.09882042127023	4.1526106119094e-05	0.00472123513319926	depleted in toyKD
CG13947	19.2810162017837	-45.7550905523253	3.48089683811003	-13.1446269970954	1.82704247493284e-39	9.13977998085153e-36	depleted in toyKD
CG1402	29.6618638440263	-1.94509133293861	0.504222841963458	-3.85760257382306	0.000114504631521102	0.00996190294233586	depleted in toyKD
CG14787	9.4183277024893	-2.87664021287083	0.8767395388475	-3.28106591001046	0.0010341557500239	0.0488053220707034	depleted in toyKD
CG15236	111.40130160254	-1.99522751976493	0.559661960224592	-3.56505830584634	0.00036377530987646	0.0242087451415836	depleted in toyKD
CG15879	91.1230587275043	1.21047222959617	0.2832121879669	4.27408240544239	1.91926048373456e-05	0.0025602934853019	enriched in toyKD
CG18853	105.304593862349	1.56787092815979	0.385788698971813	4.06406650152898	4.82250760538148e-05	0.00518808479482169	enriched in toyKD
CG30172	14.663053901523	-2.72053522698684	0.819565546751003	-3.31948461934721	0.000901837725357165	0.0444477164640317	depleted in toyKD
CG3078	15.097835951558	-2.43687810157395	0.672841035811759	-3.62177389884364	0.000292589798242253	0.0204873206872289	depleted in toyKD
CG31235	13.6237084291493	-2.5935150384091	0.754685704687562	-3.43654984094711	0.000589173940386163	0.0328489828029156	depleted in toyKD
CG31663	34.7399253489493	-2.40016803103005	0.428254114747646	-5.60454166901439	2.08806754655003e-08	6.96370526774436e-06	depleted in toyKD
CG31778	55.3875872936068	-2.57514962869309	0.786637470662533	-3.27361678629956	0.00106180503020742	0.0498749264188978	depleted in toyKD
CG31808	35.0337177631564	1.85468421680736	0.430271493303028	4.31049754788464	1.62887635259018e-05	0.00226345943162011	enriched in toyKD
CG32204	33.9114769757842	-1.52048311973108	0.336732052079504	-4.51540953806228	6.31945190215557e-06	0.0010716290895096	depleted in toyKD
CG32368	15.6026438978662	-1.98471267500246	0.456261664144714	-4.3499439706882	1.3617232079948e-05	0.00197449865159246	depleted in toyKD
CG32564	12.8472117095594	-18.4393318581473	2.42862201603086	-7.5925079063077	3.13772331286139e-14	2.41484013424448e-11	depleted in toyKD
CG33509	110.74846476401	2.34805836731463	0.421795279528162	5.56681992729094	2.59430243776186e-08	8.37290189993788e-06	enriched in toyKD
CG33926	11.5552039193934	-3.56605168098025	1.06293019981372	-3.35492554600969	0.000793863477738156	0.0402063741343325	depleted in toyKD
CG34296	55.8618636477081	-2.62688707201369	0.664868940158271	-3.95098479316595	7.78302702452586e-05	0.00741611289336964	depleted in toyKD
CG34370	29.7671492113095	-2.81115600147416	0.713395984757086	-3.94052680634497	8.13028642858159e-05	0.00767391657716592	depleted in toyKD
CG3788	393.817805118741	1.3875786192003	0.166995645898155	8.30907064515048	9.64544891072635e-17	1.20628395439771e-13	enriched in toyKD
CG4382	387.324159271292	7.97083173751234	1.72256017681866	4.62731685358789	3.70433561219963e-06	0.000650208382457146	enriched in toyKD
CG4570	84.8472384061051	-1.1418952219743	0.246411707636913	-4.63409483634145	3.58502627944054e-06	0.000640503355817904	depleted in toyKD
CG4629	54.6486068127877	-1.41481581758058	0.37237573320803	-3.79943076685447	0.000145028819299699	0.0121933893873402	depleted in toyKD
CG5002	53.33936351287	-1.83327352384369	0.454080712007517	-4.03732965388177	5.40630746310283e-05	0.00563438605920248	depleted in toyKD
CG5966	205.545845878615	-1.4967934230921	0.426397598027737	-3.51032329922912	0.000447562162982716	0.0274715303106876	depleted in toyKD
CG6218	134.287225481332	-1.12192449986315	0.287233208815354	-3.90597070753184	9.38478808674845e-05	0.00845899142413678	depleted in toyKD
CG6762	177.307156766451	-1.16561980360117	0.285336445580237	-4.08507157657642	4.4063231488124e-05	0.00487317607844936	depleted in toyKD
CG7342	49.7376957888536	-1.78122116559837	0.54177371714866	-3.2877585405451	0.00100988413988054	0.048576398170696	depleted in toyKD
CG7470	195.893859125467	-1.75504784266788	0.503290495901414	-3.48714680082427	0.000488203300293456	0.0292483474217726	depleted in toyKD
CG7781	70.5392796299314	-1.56746903533929	0.426127406788591	-3.67840465167953	0.000234697397501549	0.0173936849037259	depleted in toyKD
CG8909	136.716065049794	-1.16599268149042	0.314110765548072	-3.71204304142824	0.000205593014368367	0.016196520541382	depleted in toyKD
CG9650	96.6490064218221	-1.80073004774407	0.531685899649477	-3.38683054963698	0.00070705043830122	0.0382380520821822	depleted in toyKD
CG9686	107.602371198222	-2.09405493566757	0.524192266310131	-3.99482226322785	6.47428037270773e-05	0.00641338367613275	depleted in toyKD
CR40469	399.601319399101	4.13060390761463	0.362699258961072	11.3885093657111	4.77081333245189e-30	1.59106624637271e-26	enriched in toyKD
