geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toyPcKD_change
AGO3	34.0468364662082	1.68069805288927	0.443377050329659	3.79067444207957	0.000150238772526251	0.00224439267214292	enriched in toy-PcKD
AOX1	200.391804378404	3.19554774005792	0.536031444909353	5.96149306240478	2.49943531266811e-09	1.4799686669556e-07	enriched in toy-PcKD
ATP8	186.469196214276	-1.8485586688808	0.366320765521447	-5.04628413911897	4.50485317597363e-07	1.61810351210523e-05	depleted in toy-PcKD
ATPsynepsilonL	95.113691553082	1.08410576162566	0.243335646307584	4.45518680915051	8.38201766127068e-06	0.000199251368736288	enriched in toy-PcKD
Abd-B	498.374951885145	8.02486060106289	0.797838849605631	10.0582474832224	8.44889214289337e-24	4.85562801388637e-21	enriched in toy-PcKD
Acf	1616.40435891185	-1.75326282527992	0.121527964237073	-14.4268262558872	3.5085837866026e-47	1.71394317975537e-43	depleted in toy-PcKD
Ada1-1	24.4921965204829	-1.40558064404925	0.458635794979114	-3.06469896034448	0.00217889193873731	0.0189730608212688	depleted in toy-PcKD
Ama	6325.51693382433	1.0094878232283	0.104167080547335	9.69104459800594	3.29144797147172e-22	1.60787233406393e-19	enriched in toy-PcKD
Amnionless	9.96895534321837	-7.13853986846275	2.02924652184132	-3.51782782014346	0.000435094570644834	0.00547088025122269	depleted in toy-PcKD
Ance	31164.0412719491	-1.916220774188	0.275686878503212	-6.95071446487312	3.6344082098502e-12	3.94535202335961e-10	depleted in toy-PcKD
Antp	478.417870297487	2.99750490430571	0.650305137543934	4.60938216731096	4.03867351271545e-06	0.000107808306609918	enriched in toy-PcKD
Arc1	2024.5925025066	2.07927538013081	0.274709086292466	7.56900839427324	3.76083854270029e-14	5.83228453367965e-12	enriched in toy-PcKD
Arpc3B	43.4388392458353	-1.29221324483113	0.421894575610903	-3.06288186559405	0.00219216581838022	0.0190546797558494	depleted in toy-PcKD
Asph	173.13072910633	-1.44312651377409	0.442886184197719	-3.25845909234737	0.00112019025229347	0.0114840070985385	depleted in toy-PcKD
Awh	168.239312648165	-1.25524658165238	0.226300078257029	-5.54682345370948	2.9090621137418e-08	1.35988214599318e-06	depleted in toy-PcKD
BBS8	26.2816079086824	1.36847011606127	0.499049850264354	2.74215114048501	0.0061038248781817	0.0413840173905865	enriched in toy-PcKD
C15	140.835471030362	-1.17511955580397	0.296271471988205	-3.96636081063775	7.29783611455635e-05	0.00123569945995174	depleted in toy-PcKD
CCKLR-17D3	168.628735481572	2.19630925457212	0.278824641930985	7.8770270782442	3.3526227669773e-15	6.4225734183075e-13	enriched in toy-PcKD
CG10089	159.28371095184	1.12547174051076	0.221352849125459	5.08451436228348	3.68567880075562e-07	1.3588332786182e-05	enriched in toy-PcKD
CG10131	358.243686579623	-1.36116793137974	0.328388173254625	-4.1449968124288	3.39818437226853e-05	0.000644665268292497	depleted in toy-PcKD
