geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_toyScmKD_change
5-HT1A	13.6925794674282	-3.24235226140664	1.01862362812968	-3.18307191377449	0.0014572141684826	0.00885915172075174	depleted in toy-ScmKD
AANATL2	39.7751477037033	-3.51758088121979	0.969380124351722	-3.6286909467761	0.000284862014195962	0.00220704851975052	depleted in toy-ScmKD
AOX1	200.391804378404	-3.2034803772906	0.54515976205843	-5.87622308219302	4.19732610322348e-09	1.08027004745125e-07	depleted in toy-ScmKD
AOX4	92.919785527159	-2.61020816438246	0.919544341709789	-2.83858868570609	0.00453135253209744	0.0223609323277042	depleted in toy-ScmKD
ATP8	186.469196214276	1.81303069738626	0.355441723967124	5.10078185855847	3.38253240099434e-07	6.11952105361238e-06	enriched in toy-ScmKD
Abd-B	498.374951885145	2.64632834584184	0.31009801967241	8.53384471347942	1.41562822515882e-17	1.33633165367015e-15	enriched in toy-ScmKD
Ac3	177.008988939145	-1.92817268859364	0.306814557652045	-6.28448892174262	3.28933988749898e-10	1.02242834782053e-08	depleted in toy-ScmKD
Ac76E	33.4773273250481	-1.76911768384696	0.589796325788701	-2.99954002168668	0.00270387598579762	0.0147928342442108	depleted in toy-ScmKD
Ada1-1	24.4921965204829	-1.31092655559193	0.505341793816029	-2.59413840619162	0.00948283039692067	0.0402156471286413	depleted in toy-ScmKD
Ada2a	247.831726214475	-2.24418024160103	0.17087227266284	-13.1336711722046	2.1116574940767e-39	1.70150863465027e-36	depleted in toy-ScmKD
AhcyL2	120.818608518127	-1.5386732580739	0.270512474790879	-5.68799372104145	1.2854054765549e-08	3.08114928304635e-07	depleted in toy-ScmKD
Ance-3	10.0800149838323	-7.78063694604584	2.07676654035431	-3.74651497645874	0.000179308303115942	0.00149459923155809	depleted in toy-ScmKD
Ank2	2256.40740302211	1.49194455144684	0.150183651024327	9.9341342501067	2.95733663451433e-23	4.76586173023656e-21	enriched in toy-ScmKD
Ant2	34.4798625967949	-1.54678359744906	0.473957572882196	-3.26354865065849	0.0011002629204154	0.00699772561709248	depleted in toy-ScmKD
Arc1	2024.5925025066	-3.41404837557695	0.27750820122576	-12.3025134410335	8.7798862084662e-35	4.84048989650966e-32	depleted in toy-ScmKD
Arc2	83.7364414257832	-1.20670599561455	0.236690646262319	-5.09824116275886	3.42823888548703e-07	6.19151764232357e-06	depleted in toy-ScmKD
Arr1	7.01159149330967	-6.47451712275942	1.89518583027569	-3.41629671313951	0.000634790394455151	0.00439777075523658	depleted in toy-ScmKD
AstA-R2	14.7298395333345	-1.91133455304691	0.668811400775082	-2.85780797222038	0.00426578456473388	0.0214621005358249	depleted in toy-ScmKD
AttA	11.4617192214196	-5.88982397680503	2.25209211797993	-2.61526779023944	0.00891575226635636	0.0382756167992143	depleted in toy-ScmKD
AttB	10.9160379484325	-5.47262207107403	1.97295848615011	-2.773815115468	0.00554031547793005	0.0262600925933562	depleted in toy-ScmKD
AttC	11.5158449198833	-20.4289697181935	3.63146272851271	-5.62554850358064	1.84919435637312e-08	4.28546700951513e-07	depleted in toy-ScmKD
BBS8	26.2816079086824	-3.07913177389804	0.61675227970543	-4.99249354273757	5.96047071142153e-07	1.02859852886558e-05	depleted in toy-ScmKD
C15	140.835471030362	-1.17167245691581	0.323931920586967	-3.61703303210357	0.000297999286576094	0.00230202251245176	depleted in toy-ScmKD
CCHa2	17.9587533883914	-5.11046770848207	1.6745698245044	-3.05180926689309	0.00227466588350867	0.0128795270971639	depleted in toy-ScmKD
CG10026	101.343250730477	-2.4959180556943	0.441339253759941	-5.65532758400844	1.55549308853224e-08	3.67805645651812e-07	depleted in toy-ScmKD
CG10062	7.89250829573572	-2.1973229012559	0.866274995024646	-2.53651890436176	0.01119606976426	0.0454569111552806	depleted in toy-ScmKD
CG10126	189.400122521481	-1.01515325310443	0.39344273750672	-2.58018043372091	0.00987487046885758	0.0415085345751538	depleted in toy-ScmKD
CG10205	19.7451336789878	-3.54370294202155	1.31797366369575	-2.6887509512782	0.00717199050271424	0.0320379155029849	depleted in toy-ScmKD
CG10384	4.18926684076083	-4.55639665008466	1.81058701645476	-2.51653005830471	0.0118516790354297	0.047380455632889	depleted in toy-ScmKD
CG10433	169.752823832903	-1.44780871339728	0.329098803738445	-4.39931320609703	1.08594003053546e-05	0.000133355472682988	depleted in toy-ScmKD
CG10621	57.0885940673188	-3.80793416488366	0.887919728690208	-4.28860182046055	1.79801371177587e-05	0.000207882931907861	depleted in toy-ScmKD
CG10764	48.553798318525	-1.66880644845044	0.620839133064801	-2.68798527601233	0.00718845663013397	0.0320967959082069	depleted in toy-ScmKD
